hour,utilization,tariff_inr
0,0.0,9.0
0,0.1,9.67
0,0.2,9.88
0,0.3,15.75
0,0.4,16.36
0,0.5,16.92
0,0.6,17.44
0,0.7,17.91
0,0.8,18.35
0,0.9,29.25
0,1.0,29.25
1,0.0,9.0
1,0.1,9.67
1,0.2,9.88
1,0.3,15.75
1,0.4,16.36
1,0.5,16.92
1,0.6,17.44
1,0.7,17.91
1,0.8,18.35
1,0.9,29.25
1,1.0,29.25
2,0.0,9.0
2,0.1,9.67
2,0.2,9.88
2,0.3,15.75
2,0.4,16.36
2,0.5,16.92
2,0.6,17.44
2,0.7,17.91
2,0.8,18.35
2,0.9,29.25
2,1.0,29.25
3,0.0,9.0
3,0.1,9.67
3,0.2,9.88
3,0.3,15.75
3,0.4,16.36
3,0.5,16.92
3,0.6,17.44
3,0.7,17.91
3,0.8,18.35
3,0.9,29.25
3,1.0,29.25
4,0.0,9.0
4,0.1,9.67
4,0.2,9.88
4,0.3,15.75
4,0.4,16.36
4,0.5,16.92
4,0.6,17.44
4,0.7,17.91
4,0.8,18.35
4,0.9,29.25
4,1.0,29.25
5,0.0,9.0
5,0.1,9.67
5,0.2,9.88
5,0.3,15.75
5,0.4,16.36
5,0.5,16.92
5,0.6,17.44
5,0.7,17.91
5,0.8,18.35
5,0.9,29.25
5,1.0,29.25
6,0.0,9.0
6,0.1,10.72
6,0.2,10.93
6,0.3,17.28
6,0.4,17.92
6,0.5,18.5
6,0.6,19.04
6,0.7,19.54
6,0.8,20.0
6,0.9,30.0
6,1.0,30.0
7,0.0,9.0
7,0.1,10.72
7,0.2,10.93
7,0.3,17.28
7,0.4,17.92
7,0.5,18.5
7,0.6,19.04
7,0.7,19.54
7,0.8,20.0
7,0.9,30.0
7,1.0,30.0
8,0.0,9.0
8,0.1,11.77
8,0.2,11.98
8,0.3,18.81
8,0.4,19.46
8,0.5,20.06
8,0.6,20.63
8,0.7,21.15
8,0.8,21.63
8,0.9,30.0
8,1.0,30.0
9,0.0,9.0
9,0.1,11.77
9,0.2,11.98
9,0.3,18.81
9,0.4,19.46
9,0.5,20.06
9,0.6,20.63
9,0.7,21.15
9,0.8,21.63
9,0.9,30.0
9,1.0,30.0
10,0.0,9.0
10,0.1,11.77
10,0.2,11.98
10,0.3,18.81
10,0.4,19.46
10,0.5,20.06
10,0.6,20.63
10,0.7,21.15
10,0.8,21.63
10,0.9,30.0
10,1.0,30.0
11,0.0,9.0
11,0.1,11.77
11,0.2,11.98
11,0.3,18.81
11,0.4,19.46
11,0.5,20.06
11,0.6,20.63
11,0.7,21.15
11,0.8,21.63
11,0.9,30.0
11,1.0,30.0
12,0.0,9.0
12,0.1,10.72
12,0.2,10.93
12,0.3,17.28
12,0.4,17.92
12,0.5,18.5
12,0.6,19.04
12,0.7,19.54
12,0.8,20.0
12,0.9,30.0
12,1.0,30.0
13,0.0,9.0
13,0.1,10.72
13,0.2,10.93
13,0.3,17.28
13,0.4,17.92
13,0.5,18.5
13,0.6,19.04
13,0.7,19.54
13,0.8,20.0
13,0.9,30.0
13,1.0,30.0
14,0.0,9.0
14,0.1,10.72
14,0.2,10.93
14,0.3,17.28
14,0.4,17.92
14,0.5,18.5
14,0.6,19.04
14,0.7,19.54
14,0.8,20.0
14,0.9,30.0
14,1.0,30.0
15,0.0,9.0
15,0.1,10.72
15,0.2,10.93
15,0.3,17.28
15,0.4,17.92
15,0.5,18.5
15,0.6,19.04
15,0.7,19.54
15,0.8,20.0
15,0.9,30.0
15,1.0,30.0
16,0.0,9.0
16,0.1,10.72
16,0.2,10.93
16,0.3,17.28
16,0.4,17.92
16,0.5,18.5
16,0.6,19.04
16,0.7,19.54
16,0.8,20.0
16,0.9,30.0
16,1.0,30.0
17,0.0,9.0
17,0.1,11.77
17,0.2,11.98
17,0.3,18.81
17,0.4,19.46
17,0.5,20.06
17,0.6,20.63
17,0.7,21.15
17,0.8,21.63
17,0.9,30.0
17,1.0,30.0
18,0.0,9.0
18,0.1,11.77
18,0.2,11.98
18,0.3,18.81
18,0.4,19.46
18,0.5,20.06
18,0.6,20.63
18,0.7,21.15
18,0.8,21.63
18,0.9,30.0
18,1.0,30.0
19,0.0,9.0
19,0.1,11.77
19,0.2,11.98
19,0.3,18.81
19,0.4,19.46
19,0.5,20.06
19,0.6,20.63
19,0.7,21.15
19,0.8,21.63
19,0.9,30.0
19,1.0,30.0
20,0.0,9.0
20,0.1,11.77
20,0.2,11.98
20,0.3,18.81
20,0.4,19.46
20,0.5,20.06
20,0.6,20.63
20,0.7,21.15
20,0.8,21.63
20,0.9,30.0
20,1.0,30.0
21,0.0,9.0
21,0.1,10.72
21,0.2,10.93
21,0.3,17.28
21,0.4,17.92
21,0.5,18.5
21,0.6,19.04
21,0.7,19.54
21,0.8,20.0
21,0.9,30.0
21,1.0,30.0
22,0.0,9.0
22,0.1,10.72
22,0.2,10.93
22,0.3,17.28
22,0.4,17.92
22,0.5,18.5
22,0.6,19.04
22,0.7,19.54
22,0.8,20.0
22,0.9,30.0
22,1.0,30.0
23,0.0,9.0
23,0.1,9.67
23,0.2,9.88
23,0.3,15.75
23,0.4,16.36
23,0.5,16.92
23,0.6,17.44
23,0.7,17.91
23,0.8,18.35
23,0.9,29.25
23,1.0,29.25
